tick,event,atm_min,atm_max,atm_mean,wave_p_min,wave_p_max,fire_max,smoke_max,wave_source_max
172,,1.0014,1.0750,1.0707,0.0000,0.0966,1.0000,1.0000,0.0009
173,,1.0011,1.0756,1.0711,0.0000,0.0966,1.0000,1.0000,0.0009
174,,1.0009,1.0761,1.0715,0.0000,0.0966,1.0000,1.0000,0.0009
175,,1.0006,1.0766,1.0719,0.0000,0.0966,1.0000,1.0000,0.0009
176,,1.0004,1.0771,1.0723,0.0000,0.0966,1.0000,1.0000,0.0009
177,,1.0002,1.0777,1.0727,0.0000,0.0966,1.0000,1.0000,0.0009
178,,1.0000,1.0782,1.0730,0.0000,0.0966,1.0000,1.0000,0.0009
179,,0.9997,1.0787,1.0734,0.0000,0.0966,1.0000,1.0000,0.0009
180,,0.9995,1.0793,1.0738,0.0000,0.0966,1.0000,1.0000,0.0009
181,,0.9993,1.0798,1.0742,0.0000,0.0966,1.0000,1.0000,0.0009
182,,0.9991,1.0803,1.0745,0.0000,0.0966,1.0000,1.0000,0.0009
183,,0.9989,1.0809,1.0749,0.0000,0.0966,1.0000,1.0000,0.0009
184,,0.9987,1.0814,1.0752,0.0000,0.0966,1.0000,1.0000,0.0009
185,,0.9985,1.0819,1.0756,0.0000,0.0966,1.0000,1.0000,0.0009
186,,0.9983,1.0824,1.0760,0.0000,0.0966,1.0000,1.0000,0.0009
187,,0.9981,1.0830,1.0763,0.0000,0.0966,1.0000,1.0000,0.0009
188,,0.9979,1.0835,1.0767,0.0000,0.0966,1.0000,1.0000,0.0009
189,,0.9977,1.0840,1.0770,0.0000,0.0966,1.0000,1.0000,0.0009
190,,0.9975,1.0846,1.0773,0.0000,0.0966,1.0000,1.0000,0.0009
191,,0.9973,1.0851,1.0777,0.0000,0.0966,1.0000,1.0000,0.0009
192,,0.9971,1.0856,1.0780,0.0000,0.0966,1.0000,1.0000,0.0009
193,,0.9969,1.0861,1.0784,0.0000,0.0966,1.0000,1.0000,0.0009
194,,0.9967,1.0867,1.0787,0.0000,0.0966,1.0000,1.0000,0.0009
195,,0.9966,1.0872,1.0790,0.0000,0.0966,1.0000,1.0000,0.0009
196,,0.9964,1.0877,1.0794,0.0000,0.0966,1.0000,1.0000,0.0009
197,,0.9962,1.0882,1.0797,0.0000,0.0966,1.0000,1.0000,0.0009
198,,0.9960,1.0888,1.0800,0.0000,0.0966,1.0000,1.0000,0.0009
199,,0.9958,1.0893,1.0803,0.0000,0.0966,1.0000,1.0000,0.0009
200,"explosive on wood wall at (60, 20)",0.9953,1.0938,1.0810,-0.2125,4.8328,1.0000,1.0000,0.0009
201,,1.0352,1.1187,1.0835,-0.0057,3.1763,1.0000,1.0000,0.0009
202,,1.0385,1.1143,1.0871,0.0000,2.9568,1.0000,1.0000,0.0009
203,,1.0268,1.1114,1.0914,0.0000,2.4742,1.0000,1.0000,0.0009
204,,1.0314,1.1098,1.0964,0.0000,2.8020,1.0000,1.0000,0.0009
205,,1.0427,1.1141,1.1019,0.0000,2.3252,1.0000,1.0000,0.0009
206,,1.0484,1.1238,1.1077,0.0000,2.7801,1.0000,1.0000,0.0009
207,,1.0561,1.1335,1.1138,0.0000,2.3163,1.0000,1.0000,0.0009
208,,1.0538,1.1406,1.1202,0.0000,1.9932,1.0000,1.0000,0.0009
209,,1.0626,1.1402,1.1267,0.0000,2.0182,1.0000,1.0000,0.0009
210,,1.0725,1.1460,1.1334,0.0000,1.9091,1.0000,1.0000,0.0009
211,,1.0794,1.1553,1.1402,0.0000,1.9039,1.0000,1.0000,0.0009
212,,1.0821,1.1626,1.1471,0.0000,1.8083,1.0000,1.0000,0.0009
213,,1.0879,1.1706,1.1540,0.0000,1.8791,1.0000,1.0000,0.0009
214,,1.0974,1.1763,1.1610,0.0000,1.6654,1.0000,1.0000,0.0009
215,,1.1044,1.1813,1.1680,0.0000,1.6065,1.0000,1.0000,0.0009
216,,1.1080,1.1871,1.1751,0.0000,1.7164,1.0000,1.0000,0.0009
217,,1.1137,1.1964,1.1822,0.0000,1.5470,1.0000,1.0000,0.0009
218,,1.1223,1.2041,1.1893,0.0000,1.5909,1.0000,1.0000,0.0009
219,,1.1297,1.2106,1.1964,0.0000,1.5131,1.0000,1.0000,0.0009
220,,1.1354,1.2168,1.2035,0.0000,1.4944,1.0000,1.0000,0.0009
221,,1.1412,1.2236,1.2106,0.0000,1.4721,1.0000,1.0000,0.0009
222,,1.1470,1.2308,1.2178,0.0000,1.4781,1.0000,1.0000,0.0009
223,,1.1548,1.2382,1.2249,0.0000,1.4273,1.0000,1.0000,0.0009
224,,1.1604,1.2460,1.2321,0.0000,1.4346,1.0000,1.0000,0.0009
225,,1.1673,1.2524,1.2392,0.0000,1.4306,1.0000,1.0000,0.0009
226,,1.1714,1.2593,1.2464,0.0000,1.4156,1.0000,1.0000,0.0009
227,,1.1772,1.2665,1.2535,0.0000,1.4101,1.0000,1.0000,0.0009
228,,1.1845,1.2738,1.2607,0.0000,1.3928,1.0000,1.0000,0.0009
229,,1.1911,1.2812,1.2679,0.0000,1.3986,1.0000,1.0000,0.0009
230,,1.1964,1.2887,1.2750,0.0000,1.3794,1.0000,1.0000,0.0009
231,,1.2021,1.2956,1.2822,0.0000,1.3772,1.0000,1.0000,0.0009
232,,1.2089,1.3024,1.2893,0.0000,1.3691,1.0000,1.0000,0.0009
233,,1.2151,1.3096,1.2965,0.0000,1.3647,1.0000,1.0000,0.0009
234,,1.2211,1.3173,1.3037,0.0000,1.3600,1.0000,1.0000,0.0009
235,,1.2275,1.3246,1.3108,0.0000,1.3555,1.0000,1.0000,0.0009
236,,1.2339,1.3317,1.3180,0.0000,1.3578,1.0000,1.0000,0.0009
237,,1.2399,1.3389,1.3252,0.0000,1.3534,1.0000,1.0000,0.0009
238,,1.2463,1.3461,1.3323,0.0000,1.3544,1.0000,1.0000,0.0009
239,,1.2528,1.3535,1.3395,0.0000,1.3450,1.0000,1.0000,0.0009
240,,1.2591,1.3609,1.3467,0.0000,1.3510,1.0000,1.0000,0.0009
241,,1.2654,1.3682,1.3538,0.0000,1.3441,1.0000,1.0000,0.0009
242,,1.2719,1.3753,1.3610,0.0000,1.3419,1.0000,1.0000,0.0009
243,,1.2782,1.3826,1.3682,0.0000,1.3408,1.0000,1.0000,0.0009
244,,1.2845,1.3900,1.3753,0.0000,1.3406,1.0000,1.0000,0.0009
245,,1.2910,1.3974,1.3825,0.0000,1.3402,1.0000,1.0000,0.0009
246,,1.2976,1.4047,1.3896,0.0000,1.3408,1.0000,1.0000,0.0009
247,,1.3040,1.4120,1.3968,0.0000,1.3387,1.0000,1.0000,0.0009
248,,1.3104,1.4193,1.4040,0.0000,1.3391,1.0000,1.0000,0.0009
249,,1.3169,1.4266,1.4111,0.0000,1.3366,1.0000,1.0000,0.0009
250,,1.3234,1.4339,1.4183,0.0000,1.3376,1.0000,1.0000,0.0009
251,,1.3299,1.4412,1.4255,0.0000,1.3353,1.0000,1.0000,0.0009
252,,1.3365,1.4485,1.4326,0.0000,1.3357,1.0000,1.0000,0.0009
253,,1.3430,1.4558,1.4398,0.0000,1.3351,1.0000,1.0000,0.0009
254,,1.3495,1.4631,1.4470,0.0000,1.3354,1.0000,1.0000,0.0009
255,,1.3560,1.4704,1.4541,0.0000,1.3344,1.0000,1.0000,0.0009
256,,1.3626,1.4777,1.4613,0.0000,1.3345,1.0000,1.0000,0.0009
257,,1.3692,1.4850,1.4685,0.0000,1.3343,1.0000,1.0000,0.0009
258,,1.3758,1.4923,1.4756,0.0000,1.3339,1.0000,1.0000,0.0009
259,,1.3824,1.4996,1.4828,0.0000,1.3337,1.0000,1.0000,0.0009
260,,1.3890,1.5068,1.4900,0.0000,1.3336,1.0000,1.0000,0.0009
261,,1.3956,1.5141,1.4971,0.0000,1.3336,1.0000,1.0000,0.0009
262,,1.4022,1.5214,1.5043,0.0000,1.3333,1.0000,1.0000,0.0009
263,,1.4088,1.5287,1.5114,0.0000,1.3332,1.0000,1.0000,0.0009
264,,1.4155,1.5359,1.5186,0.0000,1.3332,1.0000,1.0000,0.0009
265,,1.4221,1.5432,1.5258,0.0000,1.3330,1.0000,1.0000,0.0009
266,,1.4288,1.5504,1.5329,0.0000,1.3329,1.0000,1.0000,0.0009
267,,1.4354,1.5577,1.5401,0.0000,1.3329,1.0000,1.0000,0.0009
268,,1.4421,1.5650,1.5473,0.0000,1.3327,1.0000,1.0000,0.0009
269,,1.4488,1.5722,1.5544,0.0000,1.3327,1.0000,1.0000,0.0009
